full_name,player_slug,position,college
Wesley Welker,wesley-welker,WR,Texas Tech
William Fuller,william-fuller,WR,Notre Dame
William Green,william-green,RB,Boston College
William Lawrence,william-lawrence,QB,Clemson
William Royal,william-royal,WR,Virginia Tech
William Schroeder,william-schroeder,WR,Wisconsin La Crosse
Willie Parker,willie-parker,RB,North Carolina
Willie Snead,willie-snead,WR,Ball State
Willis McGahee,willis-mcgahee,RB,Miami
Zaccheus Moss,zaccheus-moss,RB,Utah
Zachary Wilson,zachary-wilson,QB,BYU
